time,open,high,low,close,volume,turnover
2021-01-09 08:00:00+00:00,39629.5,41355,39300,40649.5,3976.65,161648834.175
2021-01-09 12:00:00+00:00,40649.5,41475.5,40271.5,40582,4701.893,190812221.726
2021-01-09 16:00:00+00:00,40582,40917,39928,40708.5,4604.35,187436181.975
2021-01-09 20:00:00+00:00,40708.5,40822,39873.5,40074.5,4056.896,162578078.752
2021-01-10 00:00:00+00:00,40074.5,41363.5,40074.5,40425,3429.715,138646228.875
2021-01-10 04:00:00+00:00,40425,41102.5,40139.5,41009,2146.909,88042591.181
2021-01-10 08:00:00+00:00,41009,41150.5,38924,39233,6324.743,248138642.119
2021-01-10 12:00:00+00:00,39233,40074.5,38558,39696,5876.242,233263302.432
2021-01-10 16:00:00+00:00,39696,39773.5,37200,37490.5,10743.922,402795007.741
2021-01-10 20:00:00+00:00,37490.5,39002,35333.5,38169.5,10400.386,396977533.427
2021-01-11 00:00:00+00:00,38169.5,38278,33639.5,35407.5,14788.82,523635144.15
2021-01-11 04:00:00+00:00,35407.5,35945,32631.5,34376,19094.694,656399200.944
2021-01-11 08:00:00+00:00,34376,36350,34088.5,34228,7817.205,267567292.74
2021-01-11 12:00:00+00:00,34228,35141,31170,31558,27562.272,869810179.776
2021-01-11 16:00:00+00:00,31558,33550,30427,32312,19555.583,631879997.896
2021-01-11 20:00:00+00:00,32312,35562,31463.5,35377.5,13661.551,483311520.5025
2021-01-12 00:00:00+00:00,35377.5,35467.5,33749,34981.5,6552.127,229203230.6505
2021-01-12 04:00:00+00:00,34981.5,36672,34538,36479.5,5391.39,196675211.505
2021-01-12 08:00:00+00:00,36479.5,36544.5,34830,35388,5321.655,188322727.14
2021-01-12 12:00:00+00:00,35388,35650,32620,33860,10419.403,352800985.58
2021-01-12 16:00:00+00:00,33860,35527.5,33858,34679.5,7011.412,243152262.454
2021-01-12 20:00:00+00:00,34679.5,35049,33333,34079,6984.594,238027978.926
2021-01-13 00:00:00+00:00,34079,34395,32453.5,33814,7438.357,251520603.598
2021-01-13 04:00:00+00:00,33814,35203,32812,35007,5063.861,177270582.027
2021-01-13 08:00:00+00:00,35007,35278,34230,34401.5,3907.39,134420077.085
2021-01-13 12:00:00+00:00,34401.5,35140,34050,34695.5,3429.024,118971702.192
2021-01-13 16:00:00+00:00,34695.5,36224.5,34428.5,36036,3484.523,125568270.828
2021-01-13 20:00:00+00:00,36036,37854,35783,37417.5,5200.712,194597641.26
2021-01-14 00:00:00+00:00,37417.5,38226.5,37034,37075.5,3203.085,118755977.9175
2021-01-14 04:00:00+00:00,37075.5,38598,36739,38210,3280.464,125346529.44
